report_id,bug_id,bug_category,severity,recurrent,bug_create_time,bug_page,title,description,img_url,test_case_name,test_case_front,test_case_behind,test_case_description
5d9b25b4c9e77c000c80af47,5d9b2931c9e77c000c80af5d,不正常退出,5,必现,2019/10/7 12:01,个人界面-简介编辑-简介编辑,编辑简介信息时程序崩溃停止运行,"1、进入APP
2、点击左上角的更多选项进入个人界面
3、点击“编辑个人简介”功能
4、程序崩溃停止运行",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570449210845/1570449210845_程序崩溃.PNG,个人界面简介信息功能模块测试,正常登录app，打开工作台模块。,1.打开右侧个人界面模块。 2.编辑个人简介,1.个人界面简介信息功能正常打开。 2.用户能够正常在功能模块上编辑信息。
5d9c422fc9e77c000c80b03d,5d9efaaac9e77c000eb7a331,功能不完整,3,必现,2019/10/10 9:32,主界面-世界-世界,图片评论不能删除,自己发表的图片评论不能删除，没有删除按钮。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570699932142/1570699932142_Screenshot_2019-10-10-17-00-49_20191010172457.png,趣图打开测试,1.登录趣享GIF开源版，显示主页面；2.点击“世界”或“热点”；,1.点击任意图片；2.图片点赞；3.图片转发；4.图片评论；5.图片分享；,1.显示图片详细信息；2.点击“赞”按钮，如果已经点赞，则撤销，否则，按钮变红；3.点击“转发”按钮，正常转发；4.输入评论内容，发送后，评论显示当前页面评论区，评论日期正确，自己发表的评论可以删除；5.出现分享选项，点击选项分享到目标区域。
5d9c422fc9e77c000c80b03d,5d9efb82c9e77c000eb7a334,用户体验,3,必现,2019/10/10 9:36,主界面-世界-世界,图片评论显示不完整,当对一个图片不退出输入多个评论时只显示第一个，其他评论需要退出页面再进入，才能看到。,"http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570700115595/1570700115595_Screenshot_2019-10-10-17-00-49_20191010172457.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570700140607/1570700140607_Screenshot_2019-10-10-17-01-02_20191010172443.png",趣图打开测试,1.登录趣享GIF开源版，显示主页面；2.点击“世界”或“热点”；,1.点击任意图片；2.图片点赞；3.图片转发；4.图片评论；5.图片分享；,1.显示图片详细信息；2.点击“赞”按钮，如果已经点赞，则撤销，否则，按钮变红；3.点击“转发”按钮，正常转发；4.输入评论内容，发送后，评论显示当前页面评论区，评论日期正确，自己发表的评论可以删除；5.出现分享选项，点击选项分享到目标区域。
5d9c422fc9e77c000c80b03d,5d9efbf4c9e77c000eb7a337,用户体验,2,必现,2019/10/10 9:37,主界面-世界-世界,图片评论日期显示不正确,当天输入的评论日期显示“1天前”，应为“今天”。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570700274849/1570700274849_Screenshot_2019-10-10-17-00-49_20191010172457.png,趣图打开测试,1.登录趣享GIF开源版，显示主页面；2.点击“世界”或“热点”；,1.点击任意图片；2.图片点赞；3.图片转发；4.图片评论；5.图片分享；,1.显示图片详细信息；2.点击“赞”按钮，如果已经点赞，则撤销，否则，按钮变红；3.点击“转发”按钮，正常转发；4.输入评论内容，发送后，评论显示当前页面评论区，评论日期正确，自己发表的评论可以删除；5.出现分享选项，点击选项分享到目标区域。
5d9c422fc9e77c000c80b03d,5d9efd65c9e77c000eb7a33a,页面布局缺陷,4,必现,2019/10/10 9:44,主界面-世界-世界,趣图举报功能显示错误,应该对图片举报的部分均显示对评论进行举报。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570700643668/1570700643668_Screenshot_2019-10-10-17-02-15_20191010172159.png,趣图功能测试,1.登录趣享GIF开源版，显示主页面；2.点击“世界”或“热点”；3.打开任意图片。,1.打开右上角按钮；2.点击“GIF播放控制”，设置“循环播放GIF”，设置“GIF播放速度”；3.点击“保存到手机”；4.点击“举报”。,1.正常打开页面；2.正常设置循环播放GIF功能，正常设置GIF播放速度；3.图片保存到手机；4.对当前趣图举报，选择相关选项，提交成功。
5d9c422fc9e77c000c80b03d,5d9eff9fc9e77c000eb7a33e,功能不完整,4,必现,2019/10/10 9:53,主界面-关注-去关注,对关注的人员或趣图取消关注后关注模块不消失,"1.登录APP；
2.选择“关注”模块；
3.选择“去关注”，关注人员，返回；
4.选择关注人员，取消关注，关注栏目不变化。","http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570701185124/1570701185124_Screenshot_2019-10-10-17-03-00_20191010172143.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570701194146/1570701194146_Screenshot_2019-10-10-17-03-25_20191010172120.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570701201715/1570701201715_Screenshot_2019-10-10-17-03-11_20191010172132.png,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570701208858/1570701208858_Screenshot_2019-10-10-17-03-00_20191010172143.png",趣图关注功能测试,1.登录趣享GIF开源版，显示主页面；2.点击“关注”。,1.点击“去关注”；2.推荐关注页面，进行关注，返回；3.打开页面，取消关注，返回。,1.出现“推荐关注”页面；2.出现关注内容；3.关注内容消失。
5d9c422fc9e77c000c80b03d,5d9ef6c0c9e77c000eb7a32e,不正常退出,4,必现,2019/10/10 9:15,个人界面-简介编辑-简介编辑,点击“编辑个人简介”时异常退出,在个人界面点击“编辑个人简介”按钮，程序异常退出。,,个人信息功能测试,1.登录趣享GIF开源版，显示主页面；2.打开个人界面。,1.点击头像；2.点击昵称；3.点击“编辑个人简介”。,1.到达个人页面；2.到达个人页面；3.编辑个人简介信息。
5d9c422fc9e77c000c80b03d,5d9f00c7c9e77c000eb7a342,功能不完整,3,必现,2019/10/10 9:58,个人界面-发布趣图-发布趣图,趣图发布后返回页面不正确,"1.登录APP；
2.进入个人页面；
3.点击“发布趣图”；
4.发布趣图后，点击返回，回到“关注”栏目。
",http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570701506870/1570701506870_Screenshot_2019-10-10-17-04-38_20191010172110.png,发布趣图测试,1.登录趣享GIF开源版，显示主页面；2.打开个人界面。,1.点击发布趣图，选择图片，发布趣图；2.个人页面删除发布的趣图。,1.选择图片，发布趣图，个人页面能看到发布内容；2.向下按钮，选“删除”，发布图片被删除。
5d9c422fc9e77c000c80b03d,5d9f01fcc9e77c000eb7a345,功能不完整,3,必现,2019/10/10 10:03,主界面-设置-其他,清理缓存提示失败,"1.登录APP；
2.进入个人界面；
3.进入“设置”；
4.点击“清理缓存”，提示失败，再点击，提示没有缓存需要清理。",,设置测试,1.登录趣享GIF开源版，显示主页面；2.打开个人界面。,1.点击“设置”按钮；2.点击“流量播放大图提醒”；3.点击“自动刷新内容”；4.点击“自动检测更新”；5.点击“清理缓存”；6.点击“关于”；7.点击“用户协议”；8.点击“应用信息”；9.点击“退出当前账号”。,1.进入设置页面；2.“流量播放大图提醒”开关正常；3.“自动刷新内容”开关正常；4.“自动检测更新”开关正常；5.正常清理缓存；6.进入版本页面；7.进入用户协议页面；8.进入应用信息页面；9.退出当前账号，登录需重新输入账号。
5d9c436ac9e77c000c80b048,5d9c4630c9e77c000dcd02a3,其他,3,必现,2019/10/8 8:17,登录,登录提示错误,输入手机号少一位，点击获取验证码后提示为验证码错误，应该提示手机格式错误,http://mooctest-site.oss-cn-shanghai.aliyuncs.com//app/1570522588618/1570522588618_登录提示错误.png,测试登录手机号码格式_输入少一位,成功打开趣享APP,手机号码栏输入：  2.1355650298（少一位），点击获取验证码 ,提示手机格式不正确
